# LMMP tuning result (generated; machine specific)
# samples_per_path=9 target_ms=12.0
macro	old	new
MUL_TOOM22_THRESHOLD	20	53
MUL_TOOM33_THRESHOLD	65	121
MUL_TOOM44_THRESHOLD	581	1667
MUL_FFT_THRESHOLD	2316	4490
MULLO_BASECASE_THRESHOLD	20	5
MULLO_DC_THRESHOLD	3521	144
DIV_DIVIDE_THRESHOLD	50	20
BNINV_NEWTON_THRESHOLD	20	20
MUL_FFT_MODF_THRESHOLD	477	544
MULHI_MERSENNE_THRESHOLD	477	30
TO_STR_BASEPOW_THRESHOLD	30	30
TO_STR_DIVIDE_THRESHOLD	20	14
FROM_STR_BASEPOW_THRESHOLD	100	266
FROM_STR_DIVIDE_THRESHOLD	45	29
POW_1_EXP_THRESHOLD	10	126
POW_WIN2_EXP_THRESHOLD	50	36
POW_WIN2_N_THRESHOLD	400	1341
FACTORS_MUL_N_THRESHOLD	30	172
PERMUTATION_USHORT_K_THRESHOLD	18	11
PERMUTATION_USHORT_B_THRESHOLD	21164	54886
PERMUTATION_UINT_K_THRESHOLD	136	224
PERMUTATION_UINT_B_THRESHOLD	1659975	1239400
BINOMIAL_RN_BASECASE_THRESHOLD	40	8
ELEM_MUL_BASECASE_THRESHOLD	25	94
MAT22_MUL_STRASSEN_THRESHOLD	60	24
MAT22_SQR_STRASSEN_THRESHOLD	50	50
SQRT_INVNEWTON_THRESHOLD	50	50
DIVEXACT_BASECASE_THRESHOLD	50	15
DIVEXACT_NN_THRESHOLD	350	76
